MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,KIDNAPPING & ABDUCTION,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,
0.671823751,0.474525487,0.132621293,0.551584142,0.452794106,0.057219827,0.020233435,0.092505066,0.271789915,0.192466725,0.236764112,0.134441154,0.439137138,0.413273989,0.215278503,2,0.780325604,0.594305987,0.553645142,0.549288164,0.080570481,0.69720291,0.239640695,Safe
1.33727125,0.898377165,0.162498475,1.160810268,1.766099084,0.326745138,0.249753038,0.68619546,0.553712833,0.34422633,0.104969854,0.453233057,0.135739353,0.63766012,0.173181941,1.447847124,0,0.726548616,0.040624619,0.057955285,0,0,0.238914024,Moderate
1.394646937,0.517796629,0.137600285,1.825158835,2,0.50179854,0.111029946,0.356415513,0.328879748,0.234615862,0.822775519,0.24817005,0.16522801,0.465713046,0.407279694,1.118444253,0.38669056,0.502828992,0.003440007,0.417586311,0,0.668049311,0.174290347,Moderate
1.585366227,1.534826819,0.358629068,0.82725178,1.216653917,0.50779701,0.486155902,0.476607086,0.165820836,0.144554172,1,0.26364218,0.198796324,0.35886048,0.177780221,0.54693004,2.347744645,0.138638495,0.00753121,0.217392851,1.405358543,0.333468044,1.102570952,Moderate
0.795930473,0.546029514,0.148428794,2.054203756,0.268216153,0.078683436,0.144481418,0.168136834,0.564095916,0.183297433,0.232427056,0.077269982,0.110761335,0.077659906,0.174621788,0.999495586,0.439901965,1,0.13276131,0.269499062,0,0.219572521,1.079205886,Safe
0.472525007,0.508732598,0.270946482,0.422293138,0.191586525,0.104008772,0,0.204312078,0.819237596,0.487203495,0.280656454,0.429652742,0.280647828,0.318966254,0.220085602,0.459892992,0.206488431,0.158417981,0.094831269,0.057980042,0,1,0.432884195,Safe
0.320653506,0.206131174,0.115303488,0.227824219,0.480899218,0.109981785,0.053730507,0.183327985,0.239450898,0.253633184,0.191463981,0.436406963,0.18228336,0.198553941,0.129004564,0.925334764,0.156581919,0.159469792,0.034039062,0.437519917,0,0.346533385,1.536739671,Safe
0.678223328,0.478315047,0.255291858,0.845950011,0.577294794,0.069102141,1.063932864,0.195962688,0.410050274,0.265484878,0.1985403,0.365206903,0.277774615,0.356406254,0.161735526,0.840894789,1.777212824,0.269037179,0.328115498,0.481674457,0,0.270688152,1.078207262,Moderate
0.255740171,0.25892317,0.121352167,0.888373925,0.546052418,0.012099663,0,0.046585783,0.371917783,0,0.561024686,0.132857647,0.134543956,0.064936081,0.396119399,0.837829276,0.210187589,0.588110032,0.038612053,0.340162504,0,0.514819636,1.742311721,Safe
2.185315761,3,0.214626286,0.713797367,1.548283669,0.042799494,0,0.157919357,0.347072096,0.116118936,0.564589816,0.094256269,0.21242333,0.287118688,0.788896403,0,0.161088501,0.695666992,0.468275534,0.031630882,0,0.224331525,1.384102797,Dangerous
2.362347094,1.350986558,0.712876623,1.835611039,0.863626308,0.869348421,0.551661051,0.486433118,0.239620923,0.246811991,0.814809643,0.275439018,0.230698401,0.337448422,0.207276398,0.572830232,2.061058345,0.254610803,0.006231439,0.234690777,0.117682504,0.20229295,0.703149859,Moderate
0.452093073,0.536716513,0.086045836,0.221250888,0.255340017,0.056751397,0.096505794,0.148532697,0.289174543,0.165283958,0.629597754,0.091857119,0.260114878,0.448301985,0.088266549,1.562430421,0.487385982,0.332931139,0.023546327,0.198494091,0,0.011234436,1.211012729,Safe
0.005581449,0.235099057,0.135595086,0.445837457,0.087817486,0.05895112,0.036611462,0.09524716,0.202316944,0.00054266,0.802210379,0.080535798,0.281226776,0.85925111,0.240573588,1.384194883,0.062840112,0.407954979,0.024736941,0.304300647,0,0,1.736168213,Safe
0.384813108,0.626900634,0.087251324,1.292345086,0.262137312,0.031770827,0.209198282,0.185695386,0.378370936,0.149061861,0.191653964,0.039470069,0.082387374,0.039031644,0.174225217,1.21814853,0.809900228,0.847799704,0.131051488,0.173945606,0,0.222348437,1.411067259,Safe
0.524323547,0.337090619,0.074825363,0.626408598,0.286663651,0.107458692,0.560214123,0.250162422,0.453758838,0.453952408,0.402983537,0.216523418,0.264433722,0.577796044,0.228123894,1.269217732,0.434740793,0.359650261,0.207436651,0.438850986,0.00874442,0.643702468,0.164593094,Safe
3.429105075,2.679502157,0.254835562,0.661971498,1.882031208,0.279497832,1.997522591,0.146044145,0.129866662,0.087969327,0.540652246,0.33494778,0.280989731,3,0.909770094,0.510841899,0,0.184056587,0,0.024787479,0,0.034469993,1.252116246,Dangerous
4,1.105993313,0.150393767,1.269674675,1.624693603,2,0.520084424,1.417589134,0.525058385,0.272568583,0.048376422,0.279377413,0.182160549,0.663930053,0.533438758,0.35000086,0,0.323282275,0,0.02925716,0,0,0.462493629,Dangerous
0.404604458,0.265125337,0.282406818,1.907338536,0.044375587,0.046460604,0,0.195917635,1,0.85126366,0.013360199,0.250915645,0.334980871,1.994746215,0.360772953,0.202497504,0,0.505068821,0,0.087901742,2,0.125512254,0,Safe
3.337645853,1.254640126,0.92521417,1.134927066,0.928830654,0.31006366,0,2,0.700282295,0.394290104,0.016290222,0.417064478,0.291967941,0.605105348,0,0.108429234,0,0.10607012,0,0,0,0.188715029,0.412428525,Dangerous
0.721431428,0.979244199,0.144090966,1.394784913,0.557494163,0.148344817,0.137891125,0.392795869,0.332134183,0.171659686,0.313777888,0.135847107,0.154655183,0.080013287,0.301579548,0.612568409,1.522861581,0.773750466,0.311290861,0.334785712,0,0.417386023,1.282154878,Moderate
0.95501517,1.127738216,0.365398266,0.883918095,0.920455501,0.056356943,0.884521777,0.090237761,0.344412621,0.142399728,0,0.334710135,1,0.779660834,0.053262612,1.011129857,1.383648686,0.292187395,0.05366787,0.501138675,0,0.950550762,0.625674678,Moderate
0.159366519,0.491925425,0.051499823,0.556877844,0.872817762,0.013448531,0.075383783,0.109599221,0.223883662,0.143180751,0.742443109,0.149869012,0.453681733,0.214119599,0.227468043,1.274553775,0.585605634,0.404574044,0.011444405,0.439865279,0.009648699,0.333375483,1.028808609,Safe
1.654216517,0.983511497,2,1.48436672,0.673429511,0,0,0.129268804,0.91892171,0.287713355,0.069085463,0.028489005,0.310264289,0,0.052676031,0.495572598,0,0,1,0,0,0.19323381,0.869060166,Moderate
0.27244904,0.565207029,0.015570221,0.225113115,0.306469352,0.035502315,0.011335617,0.083052165,0.176865585,0.14012738,0.344665718,0.030530399,0.146422707,0.250827837,0.201673843,1.326369637,0.298213121,0.249857242,0.207329779,0.064963752,0.135416869,0.676955934,1.557097876,Safe
3.502995146,0.354320782,0,3,1.654602603,0.322874378,0,0.430311434,0.356763975,0.101246637,0.506077808,0.005539833,0.064314252,0.799750089,0.374721669,1.03660987,1.38061954,0.451722635,0,1,0,0.135649011,0.475919343,Dangerous
1.648980633,1.774869177,0.844627048,0.905549613,1.211370882,0.176720647,0.062390238,0.41082064,0.225456096,0.249943961,0.423377938,0.501941506,0.319039589,0.308105081,0.136929723,0.663512199,3,0.351482927,0.45845587,0.510182283,0,0.490525999,0.587371092,Moderate
1.496887345,1.371952188,0.597122684,0.755146057,1.129639841,0.137875903,0.108681088,0.452640969,0.330656781,0.310593123,0.559885916,0.555570236,0.4174107,0.184986994,0.106154286,0.685660784,1.676564309,0.2783295,0.329988852,0.460064576,0,0.669532531,0.307549043,Moderate
0.925728512,0.289531814,1.197212611,0.948769362,0.708291682,0.154811825,2,0.205106586,0,0.450363063,0.516414642,0.185590381,0.209307702,0.618580966,0.030923874,0.341729714,1.040382985,0.338053602,0.024727283,0.77346783,0.072965905,0.454123061,1.077802144,Moderate
0.661269585,0,0,0.375603433,0.151470467,0,0,0.116302632,0.505442803,0.117122054,0.20271883,0.388944692,0.128835487,1.134802432,0.192479203,1.292150314,0,0.629918952,0.048198003,0.168773349,0,0,1.539369191,Safe
0,0.116862233,0.224063249,0.436527039,0.8215166,0.051197388,0,0.123903216,0.560767467,1,0.274998643,0.17889267,0.483512339,0.219811598,0.024167028,0.092435138,0.213448374,0.154124848,0.140039531,0.130765809,0,0.021648298,0.268611417,Safe
0.179131144,0.226846288,0,1.412268908,0.569528958,0,0,0.109324474,0.504762608,0.191978535,0.117109031,1,0.363316073,1.066714286,0.074774436,0.527500817,0,0.436301758,0,0.141019509,0,0,1.722550387,Safe
1.072133193,0.830504193,0,0,1.042547778,0,0,0,0.967847343,0.289465823,0.988863236,0.548296845,0.39903962,1.562133891,0.428966637,0.567201636,0,0,0,0.206513925,0,0,0.477014711,Safe
1.007005936,0,0,0,0,0,0,0,0.116692457,0.566939912,0.285169467,0.739234169,0,0,2,0.53127508,0,0,0,0,0,0,1.432474798,Safe
0.074564497,0.312276109,0.031184155,0.182261843,0.049000771,0.008550517,0,0.018811979,0.113941915,0.195049674,0.252319781,0,0.059912619,0.275331858,0.248791919,1.107991278,0.059413645,0.187691268,0.210493047,0.00909971,0,0.500144146,2,Safe
0.700766839,0.553005586,0.250904069,0.595971729,0.298434587,0.07133208,0.003813346,0.091392977,0.226275219,0.227018728,0.043680964,0.212641877,0.473722959,0.570686234,0.306786994,2,0.723594409,0.635506156,0.397395568,0.63673951,0,0.731010348,0.675297938,Safe
1.091217923,0.823911942,0.588090963,1.456837223,0.84213656,0.513464991,0,0.872727273,0.507326266,0.339363515,0.02755396,0.300231897,0.13151743,1.186602334,0.420785093,1.247887165,0,0.733210839,0.025311157,0.07602585,0,0,0.903095033,Safe
1.374014421,0.636636125,0.33045666,2.279595187,1.444531171,0.676718208,0.090403567,0.338263058,0.301888852,0.27612514,0.244014087,0.446500303,0.199881578,0.829217796,0.589593653,0.870333319,0.445733177,0.650389658,0.005430485,0.60728129,0,0.650388211,0.6012672,Moderate
1.573229891,1.811265333,0.919583156,0.944633489,0.826430276,0.712760527,0.273700869,0.492794556,0.134183487,0.159858232,0.271470054,0.375757656,0.194583643,0.404827733,0.278212614,0.57841371,2.281395903,0.158640522,0.001799019,0.218500377,0.705776502,0.320733541,1.367068821,Moderate
0.88639543,0.576632092,0.138104523,2.232762407,0.154394233,0.197312253,0.028860852,0.173991616,0.442886363,0.174030651,0.063197369,0.073570487,0.104636034,0.250790514,0.267894418,0.770610738,0.51837099,0.938781497,0.109220145,0.224199437,0,0.306515869,1.56613612,Safe
0.490036321,0.395961132,0.357996357,0.420081967,0.121415892,0.106557377,0,0.199225037,0.710237639,0.40657741,0.095147364,0.32182377,0.323002049,0.650102459,0.490481227,0.605147637,0.189702788,0.17722208,0.069335973,0.0427202,0,1,0.956901111,Safe
0.57239121,0.343709481,0.026612713,0.213791891,0.313203238,0.391919381,0.020534696,0.20847894,0.21103801,0.262503975,0.100977501,0.377599406,0.13800582,0.228005625,0.913620679,0.83767667,0.134512481,0.168901599,0.027489566,0.405638662,0,0.368915485,1.614185452,Safe
0.754402731,0.585914392,0.484051161,0.767967142,0.350060852,0.078999801,0.73650808,0.166467424,0.335523541,0.264873002,0.051138654,0.419387577,0.234787495,0.421398685,0.200013069,0.726356788,1.475592116,0.271633807,1,0.507855636,0,0.287299352,1.381914542,Moderate
0.400418472,0.339330572,0.107021699,0.955818291,0.371034326,0,0.014910144,0.029778798,0.249644851,0,0.155190377,0.178163032,0.11306631,0,0.578208145,0.789162625,0.113421907,0.639683135,0.02763698,0.249035423,0,0.475551598,2,Safe
2.091921131,3,0.33904498,0.821355236,1.11114294,0.109380478,0,0.165347369,0.288784825,0.142497979,0.146701163,0.132547871,0.193308542,0.529623879,0.989408392,0,0.208637913,0.944478311,0.519675442,0.035238228,0,0.22988426,1.596458037,Dangerous
1.886388107,1.756264384,0.798799085,2.165370506,0.490004402,0.959318044,0.319347595,0.502514248,0.188025631,0.240668445,0.213468002,0.30804892,0.1417328,0.100909698,0.219545544,0.42177153,2.024405524,0.314056834,0.002690604,0.243692251,2,0.159831753,1.351161338,Moderate
0.570332014,0.66959462,0.105636618,0.219365752,0.186735084,0.081407928,0.105963666,0.173153838,0.244853566,0.195164213,0.176914234,0.124059285,0.245630275,0.813826419,0.138913678,1.40813451,0.474277825,0.348205569,0.024799364,0.209255675,0,0.016148248,1.485831884,Safe
0.173654074,0.260543945,0.440108765,0.409049104,0.051176449,0.068368522,0.007007481,0.118572675,0.184388932,0.023399818,0.228446383,0.099642514,0.283537268,0.685040787,0.166058185,1.268547149,0.037758501,0.489460248,0.027601307,0.354626858,0,0.003709546,1.844703654,Safe
0.497686684,0.721338417,0.220883784,1.287491506,0.165444962,0.036871934,0.135148643,0.193147846,0.305145008,0.160772376,0.048593185,0.076878659,0.065324463,0.148866782,0.229333476,1.064138143,0.813293126,0.89155224,0.115109884,0.211750079,0,0.231697798,1.701064035,Safe
0.666752509,0.418953689,0.122741979,0.697944745,0.189590898,0.172220812,0.298979014,0.261472175,0.390861229,0.46864595,0.112996643,0.258031048,0.253120178,0.562425209,0.349003137,1.223151274,0.423816541,0.389980498,0.131046451,0.421533497,0,0.686738399,0.693817491,Safe
2.545002874,2.99116149,0.253534572,0.462783798,2,0.060371517,0.565154463,0.047030678,0.053320724,0.136077231,0.072737775,0.315144479,0.281540248,2.455495356,0.947892634,0.987758146,0,0.539225764,0,0.050424385,0,0.116865402,1.364417386,Dangerous
4,1.683786639,0.393709936,1.950620994,1.02866242,2,0.219404918,1.326770105,0.415254959,0.490106468,0.015724179,0.157301683,0.200383113,2.542067308,0.686857077,0.271385083,0,0.332054725,0,0,0,0.087109673,0.668686339,Dangerous
0.409869622,0.445386067,0.387194641,2.302009456,0.081709355,0.092198582,0,0.05027724,0.729684205,0.797030199,0.000839783,0.268144208,0.304558215,3,0.453611693,0.165091873,0,0.621883311,0,0.013861342,0,0.055684292,0.900467155,Safe
3.577763683,1.474368738,0.980151606,1.303485937,0.797813583,0.980251346,0,2,0.522383643,0.47749433,0.013013783,0.261071215,0.190473519,1.423922801,0.223615741,0.225767844,0,0.021565025,0,0,0,0.260234282,0.712492784,Dangerous
0.897701747,1.388651485,0.265376951,1.236651791,0.360704288,0.268018773,0.114740755,0.401033889,0.261307151,0.166312912,0.098399713,0.149901525,0.167880577,0.132940831,0.393819309,0.658633172,1.202574494,0.807861574,0.111066173,0.318588971,0,0.676241275,1.446060171,Moderate
1.014609248,1.221354583,0.599147199,0.886975875,0.629901222,0.09029659,0.52619386,0.077377231,0.29261518,0.14698877,0,0.376748049,0.953077609,0.716164826,0.05754127,1.052336028,1.334257434,0.284503445,0.141991777,0.427172328,0,0.969055022,1.031875535,Moderate
0.33624658,0.652515922,0.09818106,0.593547793,0.563027543,0.016158891,0.039828503,0.098294433,0.182778886,0.159797059,0.139562879,0.180367123,0.486743351,0.220242582,0.338116268,1.212010351,0.610543762,0.433618854,0.008202764,0.490266323,0,0.372962955,1.390335062,Safe
1.068312859,0.49801297,0.900526919,1.056701031,0.610834592,0,0,0.208809747,0.623895641,0.222131223,0.090879361,0.179896907,1,0,0.154301566,0.654332849,0,0.842058634,0,0.080595841,0,0.174339083,1.087880966,Safe
0.411354741,0.617216647,0.047091804,0.273223635,0.197374625,0.054821435,0.027336574,0.079226427,0.130554471,0.171404962,0.074805556,0.050173114,0.122078951,0.383239389,0.207449323,1.021464192,0.336879206,0.270105738,0.290171491,0.082107579,0,0.732601623,1.855189608,Safe
2.605240251,0.596967742,0.071017164,3,1.370211796,0.490406504,0,0.368863267,0.270955884,0.107941315,0.172188421,0.113495935,0.065718157,1.203658537,0.642159789,1.158905178,1.204227127,1,0,1,0,0.180697094,0.771856552,Moderate
1.862672896,2.078339752,1.858731539,0.82762987,0.773132749,0.196552928,0.073749451,0.393892706,0.17275298,0.27788184,0.098167347,0.545273915,0.34774435,0.459823538,0.169637429,0.595744261,3,0.352857656,0.364339444,0.506689708,0,0.60488265,1.011716323,Moderate
1.459131887,1.50808767,1.286829934,0.953119776,0.817152093,0.208625878,0.137320631,0.449480259,0.304596458,0.323456868,0.126075028,0.528721581,0.395248245,0.530341023,0.203246189,0.594066507,1.915103869,0.43673501,0.342912868,0.516220271,0.218983339,0.666355502,0.821289962,Moderate
0.976094417,0.338368739,2,1.099542926,0.463929159,0.179912486,2,0.186874135,0,0.426897798,0.122718002,0.22245825,0.225348176,0.878828737,0.034030597,0.265936431,1.071578482,0.39277151,0.016259377,0.899184062,0.029622657,0.55374816,1.413562134,Moderate
1.114402773,0.238358181,0.359173977,0.280975877,0.108280255,0.085526316,0,0.23319378,0.357955393,0.089287784,0.053077536,0.191337719,0.182805647,0,0.108492188,1.090078689,0,0.671707956,0.139128105,0.085721454,0,0,1.890314366,Safe
0.324630822,0.44423385,0.401640684,0.40396742,0.46703328,0.013662638,0.047962399,0.138365261,0.394807954,1,0.060151102,0.267450517,0.480518699,0.694626905,0,0.075522849,0.060808566,0.227231674,0.207437104,0.191713352,0,0.022216094,0.838995387,Safe
1.256215363,0.276832424,0,0.978987584,0.848867556,0.446991404,0,0.058035947,0.493538566,0.436631476,0.041988087,1,0.28951767,0,0.242541739,0.499954541,0,0.206505193,0,0.112002817,0,0,1.327225997,Safe
1.221648657,0.55525584,0,0,0.378358591,0.398467433,0,0.077603622,1,0.43575133,0.180334705,0.55715198,0.387132822,0,0.348640752,0.390884022,0,0,0,0.149766219,0,0,0.868479912,Safe
0,0,0,1.61163522,0,0,0,0,0.785542752,0.466412327,1,0,0,0,2,0.586761953,0,0.453272406,0,0,0,0,0,Safe
0.260498611,0.468156885,0.098434878,0.115505973,0.074187959,0.023439261,0,0.027389514,0.111050963,0.187450043,0.127898669,0.072102021,0.070594809,0.357505071,0.200130502,1.760125579,0.260803923,0.319446205,0.165227036,0.026429333,0,0.517252537,1.55375793,Safe
0.648242063,0.408899439,0.116780572,0.261477813,0.400065944,0.045097952,0.004414099,0.089221975,0.277034017,0.254400528,0.114953075,0.235448484,0.444753014,0.272511803,0.166781167,2,0.640573292,0.426197894,0.278620424,0.643332744,0.062185013,0.700848067,0.294155621,Safe
1.425249879,0.371142466,0.181493307,0.683519843,1.395083293,0.721991313,0,0.617682425,0.62335986,0.331964976,0.026322174,0.456817079,0.093820511,0.456817079,0.10872169,1.540029226,0,0.322651738,0,0.083982197,0,0,0.470276611,Safe
1.18955226,0.485650533,0.156693894,1.321574365,1.802258585,0.495932572,0.094319829,0.290527442,0.333256843,0.242938732,0.677706506,0.537894358,0.215519959,0.204241393,0.51677407,0.920034527,0.338915736,0.363091895,0.003005007,0.585233394,0,0.705522884,0.250140858,Safe
1.559219436,1.467453457,0.402722637,0.479133495,1.112273067,0.532226301,0.180214547,0.566407279,0.142443654,0.153783345,0.674427994,0.402714252,0.194309874,0.134116601,0.184766917,0.653257613,2.125608652,0.067350117,0.002280688,0.251922795,0.782805675,0.360399588,1.108999244,Moderate
0.769936576,0.510294587,0.165387422,1.072809814,0.194651356,0.146437136,0.05045209,0.182656416,0.471308465,0.150529783,0.141700694,0.066464667,0.098666258,0.083955369,0.079408794,0.643013886,0.443291129,0.658850751,0.052240227,0.193253163,0,0.389069176,1.608338228,Safe
0.578008658,0.426094376,0.333384764,0.626087608,0.263799762,0.089609776,0,0.198558475,0.579582397,0.401530306,0.162321747,0.899064171,0.434950168,0.179812834,0.209186995,0.588846238,0.192288867,0.086584875,0.059672742,0.132228654,0,0.944113723,0.707147389,Safe
0.409776476,0.176278804,0.034865741,0.085815371,0.425650619,0.131071568,0.018704571,0.25921024,0.270057296,0.348844257,0.136304467,0.607272513,0.175350555,0.356646964,0.112634793,0.855655482,0.112337385,0.057920943,0.016969623,0.439177784,0,0.440452546,1.346209951,Safe
0.693574462,0.441775072,0.245419261,0.407320493,0.424892089,0.065618529,0.681816449,0.154410208,0.38100774,0.243314277,0.12825676,0.510314151,0.214623218,0.104501191,0.055075534,0.743359639,1.240445462,0.095004166,0.645044232,0.518075921,0,0.324862998,1.238358766,Safe
0.39701702,0.235635759,0.05190488,0.470442591,0.397803402,0.026786691,0,0.033563436,0.283425883,0.006918776,0.393597536,0.176369578,0.099659953,0.033594205,0.274255299,0.805364536,0.10777526,0.321710931,0.028667786,0.227483706,0,0.497972247,2,Safe
1.669101062,2.190336603,0.17029582,0.444549356,1.417874692,0.043563696,0,0.153886792,0.352625206,0.107986903,0.425952527,0.183699901,0.176931555,0.133024066,0.444590267,0,0.10160981,0.710092709,0.338748433,0.041341305,0,0.229976656,1.54886073,Moderate
1.755618509,1.136591101,0.422034074,1.014476398,0.639443013,0.87669599,0.15919945,0.569258333,0.212788241,0.203043456,0.597079465,0.276701705,0.136960607,0.020883148,0.099617126,0.643616332,1.755302442,0.176075682,0.001188049,0.214611339,0,0.257538411,1.078617383,Moderate
0.511113817,0.422254996,0.064336838,0.112978617,0.199746008,0.078712787,0.080124235,0.162521008,0.256850772,0.19570561,0.398790089,0.148075041,0.225433934,0.150767315,0.071950909,1.442195479,0.372360065,0.193867787,0.014295339,0.18742225,0,0.019767244,1.40798325,Safe
0.167921037,0.173382089,0.432761923,0.165940143,0.08086649,0.057787533,0.026639578,0.136119021,0.207621407,0,0.533114426,0.109901188,0.285205169,0.1755697,0.087392648,1.315198308,0.072044115,0.300524622,0.01316277,0.366557728,0,0.004575188,1.810841333,Safe
0.444618787,0.482986821,0.132465475,0.650182337,0.196282757,0.032202455,0.102245593,0.175221865,0.328995969,0.146502428,0.110686474,0.096610416,0.058886672,0.026748239,0.09891517,1.111906039,0.731663376,0.607820006,0.070579608,0.190098326,0,0.255419812,1.656372209,Safe
0.643603033,0.328677458,0.085751627,0.340603482,0.238301502,0.125810803,0.209982013,0.270663592,0.420088761,0.450067841,0.269518459,0.319456532,0.280483391,0.213653184,0.184113949,1.304656974,0.483216097,0.233754783,0.079402058,0.410241519,0,0.737326971,0.338852158,Safe
2.255532406,3,0.294881912,0.311465917,2,0.047556406,0,0.050179089,0.112858861,0.127233094,0.222999606,0.21206149,0.275835155,0.371107607,0.542164293,0.904516093,0,0.255614555,0,0.019492912,0,0.02036774,1.291220556,Moderate
4,1.374939406,1.270018171,1.101409832,1.241392051,2,0.083019447,1.690780733,0.480294985,0.424313765,0.023217496,0.241761534,0.187576778,0.322348712,0.258801523,0.391132068,0,0.073675218,0.01146158,0.029630627,0,0.317344397,0.099758096,Dangerous
0.50776455,0.398398241,0.10823429,0.710852165,0.097878086,0.058184125,0,0.128925121,0.719968835,0.836172874,0.006727431,0.184859664,0.159857865,0.467013889,0.165877053,0.211819203,0,0.410235455,0,0.0107321,0,0.04111708,0.697895742,Safe
3.556885246,1.332348216,1.022015587,0.650886318,1.646277322,0.78291033,0,2,0.488117368,0.451723148,0.06352459,0.103355533,0.103776581,0.964651639,0.117310063,0.276532099,0,0.003393232,0.039199542,0,2,0.542671925,0.240651286,Dangerous
0.842349116,0.982020783,0.495779478,0.69722037,0.426580445,0.151405478,0.087916577,0.392657038,0.303445644,0.163009238,0.230790381,0.1806381,0.182477544,0.031291639,0.180854914,0.688152267,1.273105949,0.597552583,0.076062747,0.337057078,0,0.682236898,1.261371954,Safe
0.969766508,0.856536822,0.385903646,0.597995591,0.682273844,0.041956671,0.56375909,0.079686961,0.357681264,0.157566237,0,0.401077167,1,0.261927945,0.033184704,1.030094833,0.825298789,0.154477249,0.132380925,0.424351621,0,1,0.679254738,Safe
0.330703585,0.519393587,0.052245447,0.316971387,0.650025759,0.009945165,0.039023058,0.095462885,0.192163914,0.162229712,0.215711057,0.208338771,0.456978334,0.053586025,0.125629127,1.32095385,0.576498083,0.28049112,0.004336267,0.486878277,0.013408527,0.450251373,1.231251749,Safe
1.205598194,0.604342253,0.844374052,1.036183803,0,0.181565993,0,0.143684365,0.546726695,0.248234602,0.174943567,0.531320542,0.249421571,0.910835214,0.098028403,0.894127804,0,1,0,0.027908305,0,0.524894587,0.837766176,Safe
0.386130935,0.448435637,0.022210663,0.145183628,0.236452674,0.024306251,0.037904499,0.06938111,0.134382271,0.169456613,0.182723016,0.065672993,0.111534589,0.053907473,0.114435112,1.421086839,0.30196445,0.170310771,0.107216804,0.122307677,0.012418409,0.748864363,1.569273497,Safe
